data-message-id,message-text,link_bet,Local
953,Parabéns aos sorteados!!83713:22,,
954,1Un,https://br.betano.com/live/guine-equatorial-costa-do-marfim/44165745/,tips/imagens\4f93d191325048b8b9c7d9725628e3d8.jpg
